類別,子類別,事件名稱,開始日期,結束日期,備註,Link1,Link2
硬體發布,旗艦產品,Tesla A100 出貨,2020-05-14,2020-05-14,基於Ampere架構，HBM2e記憶體，成為數據中心AI和HPC的標準配置，需求強勁。,https://www.nvidia.com/en-us/data-center/a100/,
硬體發布,網路與系統,DGX A100 系統發布,2020-05-14,2020-05-14,整合8個A100 GPU，為大規模AI訓練提供強大算力，引領AI基礎設施升級。,https://www.nvidia.com/en-us/data-center/dgx-systems/dgx-a100/,
財務與市場,財報里程碑,數據中心收入首次超越遊戲業務,2020-08-19,2020-08-19,NVIDIA財報顯示數據中心收入首次超越遊戲業務，標誌著公司戰略重心轉移和AI市場的崛起。,https://ir.nvidia.com/events/event-details/q2-fy21-nvidia-earnings-conference-call,
戰略合作,超大規模雲端,Azure 部署 A100 GPU,2020-10-01,2020-10-01,Microsoft Azure宣布在其雲端服務中部署NVIDIA A100 GPU，加強AI雲端能力。,https://azure.microsoft.com/en-us/blog/azure-is-first-cloud-to-bring-nvidia-a100-gpus-to-customers/,
政策與競爭,競爭威脅,AMD Instinct MI100 發布,2020-11-16,2020-11-16,AMD推出MI100，首次將CDNA架構引入數據中心，開始挑戰NVIDIA的市場主導地位。,https://www.amd.com/en/press-releases/2020-11-16-amd-unveils-worlds-fastest-hpc-and-ai-accelerator-amd-instinct-mi100,
財務與市場,市值紀錄,市值突破5000億美元,2020-07-08,2020-07-08,受AI和數據中心強勁增長推動，NVIDIA市值創新高，成為半導體巨頭。,https://www.reuters.com/article/us-nvidia-stocks-idUSKBN24A27A,
軟體與生態,平台發布,Omniverse 平台發布,2020-10-05,2020-10-05,推出基於USD的協作平台，用於模擬和3D設計，擴展NVIDIA在元宇宙和工業數位化領域的影響力。,https://www.nvidia.com/en-us/omniverse/,
政策與競爭,反壟斷,宣布收購ARM，引發全球監管審查,2020-09-13,2020-09-13,計畫以400億美元收購ARM，若成功將大幅改變半導體產業格局，但最終因監管阻力而失敗。,https://www.nvidia.com/en-us/news/2020/09/nvidia-to-acquire-arm/,
政策與競爭,競爭威脅,AWS Trainium 發布,2020-12-01,2020-12-01,Amazon推出專為深度學習訓練設計的ASIC，進一步加劇雲服務商自研晶片的競爭態勢。,https://aws.amazon.com/blogs/aws/introducing-aws-trainium-for-high-performance-deep-learning-training/,
軟體與生態,平台發布,TensorRT 8.0 發布,2021-06-01,2021-06-01,提升AI推理性能，支援Transformer模型，加速大型語言模型部署。,https://developer.nvidia.com/blog/tensorrt-8-performance-optimizations/,
政策與競爭,競爭威脅,Intel Ponte Vecchio 首次展示,2021-05-25,2021-05-25,Intel展示其HPC和AI加速器，表明其在高端數據中心市場的雄心。,https://www.intel.com/content/www/us/en/newsroom/news/intel-accelerated-innovation-event.html,
政策與競爭,競爭威脅,AMD Instinct MI250X 發布,2021-11-08,2021-11-08,AMD推出採用CDNA 2架構的MI250X，性能直逼NVIDIA A100，市場競爭加劇。,https://www.amd.com/en/press-releases/2021-11-08-amd-unleashes-new-era-high-performance-computing-and-ai-introducing,
政策與競爭,反壟斷,放棄收購ARM,2022-02-08,2022-02-08,因全球監管機構的強烈反對，NVIDIA終止了收購ARM的計畫，NVIDIA股價受此影響下跌。,https://www.nvidia.com/en-us/news/2022/02/nvidia-and-softbank-agree-to-terminate-arm-deal/,
硬體發布,GPU架構,Hopper 架構發布,2022-03-22,2022-03-22,專為萬億參數級別AI模型設計，引入Transformer Engine，對大型語言模型發展至關重要。,https://www.nvidia.com/en-us/data-center/hopper-gpu-architecture/,
硬體發布,旗艦產品,H100 Tensor Core GPU 出貨,2022-09-20,2022-09-20,基於Hopper架構，成為AI訓練和推理的黃金標準，需求在ChatGPT推出後爆炸式增長。,https://www.nvidia.com/en-us/data-center/h100/,
硬體發布,網路與系統,DGX H100 系統發布,2022-03-22,2022-03-22,整合8個H100 GPU，提供高達32 PFLOPS的AI性能，成為全球領先的AI超級電腦。,https://www.nvidia.com/en-us/data-center/dgx-systems/dgx-h100/,
政策與競爭,出口管制,美國對中國實施A100/H100出口禁令,2022-09-01,2022-09-01,美國政府限制NVIDIA向中國出口先進AI晶片，對其在中國的數據中心業務產生重大影響。,https://www.nvidia.com/en-us/news/2022/08/nvidia-comments-on-us-government-restrictions/,
軟體與生態,平台發布,NVIDIA DRIVE Thor 汽車晶片發布,2022-09-20,2022-09-20,集成多種AI引擎的下一代汽車晶片，鞏固NVIDIA在自動駕駛領域的領先地位。,https://www.nvidia.com/en-us/automotive/drive/drive-thor/,
政策與競爭,競爭威脅,Google TPU v4 部署,2022-05-11,2022-05-11,Google持續在其雲服務中擴大TPU部署，提供強大AI訓練能力，減少對NVIDIA的依賴。,https://cloud.google.com/blog/products/ai-machine-learning/announcing-tpu-v4,
財務與市場,市值紀錄,市值突破1兆美元,2023-05-30,2023-05-30,受AI熱潮和H100需求爆發推動，NVIDIA市值首次突破1兆美元，成為半導體行業首家。,https://www.reuters.com/technology/nvidia-briefly-surpasses-1-trillion-valuation-after-forecast-surge-2023-05-30/,
財務與市場,財報里程碑,數據中心收入連續數季創紀錄,2023-08-23,2023-08-23,ChatGPT引發AI晶片需求狂潮，NVIDIA數據中心業務收入連續多個季度遠超預期，帶動股價飆升。,https://ir.nvidia.com/events/event-details/q2-fy24-nvidia-earnings-conference-call,
政策與競爭,出口管制,美國擴大對中國的晶片出口限制,2023-10-17,2023-10-17,美國商務部宣布更新出口管制規定，進一步限制NVIDIA為中國市場開發的降級版AI晶片（如H800、L40S等）的銷售。,https://www.federalregister.gov/documents/2023/10/24/2023-23423/addition-of-certain-advanced-computational-items-and-supercomputers-to-the-commerce-control-list,
政策與競爭,競爭威脅,AMD Instinct MI300X 發布,2023-12-06,2023-12-06,AMD正式發布MI300X加速器，配備192GB HBM3記憶體，劍指H100，爭奪AI加速器市場。,https://www.amd.com/en/press-releases/2023-12-06-amd-unveils-new-amd-instinct-mi300-series-accelerators-redefine,
硬體發布,網路與系統,GH200 Grace Hopper Superchip 出貨,2023-10-09,2023-10-09,整合Grace CPU和Hopper GPU，為HPC和大規模AI提供超高記憶體頻寬和效能，用於多個超級電腦。,https://www.nvidia.com/en-us/data-center/grace-hopper-superchip/,
戰略合作,主權AI,與國家建立主權AI合作夥伴關係,2023-09-01,2024-06-01,NVIDIA與多個國家合作，協助其建立國家級AI基礎設施，拓展全球AI市場。,https://www.nvidia.com/en-us/news/press-releases/2023/sovereign-ai-initiative/,
硬體發布,旗艦產品,H200 Tensor Core GPU 發布,2023-11-13,2023-11-13,升級版H100，搭載HBM3e記憶體，進一步提升大型語言模型推理性能。,https://www.nvidia.com/en-us/data-center/h200/,
政策與競爭,出口管制,H20、L20、L2等專為中國市場設計晶片發布,2023-11-08,2023-11-08,為遵守美國出口禁令，NVIDIA推出性能受限的晶片型號以維持中國市場份額，但銷售前景仍充滿不確定性。,https://www.reuters.com/technology/nvidia-preps-three-new-chips-chinas-export-curbs-sources-2023-11-08/,
財務與市場,市值紀錄,市值突破2兆美元,2024-02-23,2024-02-23,在AI晶片需求持續旺盛及強勁財報預期下，NVIDIA市值迅速突破2兆美元大關。,https://www.reuters.com/markets/us/nvidia-hits-2-trillion-market-value-2024-02-23/,
硬體發布,GPU架構,Blackwell 架構發布,2024-03-18,2024-03-18,NVIDIA發布新一代AI平台，採用GB200超級晶片，為下一代AI計算奠定基礎。,https://www.nvidia.com/en-us/data-center/blackwell-gpu-architecture/,
硬體發布,旗艦產品,GB200 NVL72 系統發布,2024-03-18,2024-03-18,搭載72個Blackwell GPU和36個Grace CPU，成為用於萬億參數模型訓練的超級電腦，受到超大規模雲服務商追捧。,https://www.nvidia.com/en-us/data-center/gb200-nvl72/,
財務與市場,股票分割,宣布10:1股票分割,2024-05-22,2024-05-22,NVIDIA宣布10:1股票分割，旨在降低股價，吸引更多投資者，刺激股價進一步上漲。,https://ir.nvidia.com/news/press-release-details/2024/NVIDIA-Announces-10-for-1-Forward-Stock-Split-and-Quarterly-Cash-Dividend-Increase/default.aspx,
軟體與生態,平台發布,NIM 微服務發布,2024-03-18,2024-03-18,提供企業部署生產級AI模型的標準化介面，加速AI應用普及和企業落地。,https://www.nvidia.com/en-us/ai-platform/nvidia-nim/,
財務與市場,市值紀錄,市值突破3兆美元並超越Apple,2024-06-05,2024-06-05,受益於AI熱潮及強勁的財報，NVIDIA市值突破3兆美元，超越Apple成為全球第二大市值公司。,https://www.reuters.com/technology/nvidia-market-value-hits-3-trillion-ahead-apple-2024-06-05/,
財務與市場,市值紀錄,成為全球市值最高公司,2024-06-18,2024-06-18,NVIDIA市值一度超越Microsoft，成為全球市值最高的公司，反映其在AI時代的核心地位。,https://www.reuters.com/markets/us/nvidia-becomes-worlds-most-valuable-company-2024-06-18/,
硬體發布,消費級GPU,GeForce RTX 40 系列發布,2022-09-20,2022-09-20,採用Ada Lovelace架構，提供更強大的AI Tensor Cores和DLSS 3技術，強化遊戲AI體驗。,https://www.nvidia.com/en-us/geforce/graphics-cards/40-series/,
軟體與生態,AI框架整合,與Meta合作擴展PyTorch支援,2023-09-18,2023-09-18,NVIDIA與Meta合作優化PyTorch，提升NVIDIA GPU在主流AI框架上的性能和易用性。,https://www.nvidia.com/en-us/on-demand/session/gtcfall22-a41147/,
政策與競爭,競爭威脅,Microsoft 自研 Maia 100 AI 晶片,2023-11-15,2023-11-15,微軟推出自主設計的AI晶片，顯示超大規模雲服務商在減少對NVIDIA依賴方面的努力。,https://azure.microsoft.com/en-us/blog/introducing-microsofts-first-custom-designed-chips-for-ai-and-cloud-infrastructure/,
政策與競爭,競爭威脅,Google TPU v5e 發布,2023-08-29,2023-08-29,Google推出成本效益更高的TPU版本，旨在擴大AI應用的可及性，對NVIDIA中低端市場構成潛在威脅。,https://cloud.google.com/blog/products/ai-machine-learning/google-cloud-tpus-now-available-for-everyone,
軟體與生態,平台發布,Project GR00T 機器人模型發布,2024-03-18,2024-03-18,NVIDIA推出通用機器人基礎模型，旨在加速人形機器人的發展，拓展NVIDIA AI的應用邊界。,https://www.nvidia.com/en-us/ai-robotics/project-groot/,
戰略合作,超大規模雲端,AWS宣布擴大H100部署,2023-11-28,2023-11-28,AWS宣布將大規模擴展其H100 GPU實例，以滿足日益增長的AI客戶需求，鞏固NVIDIA在雲端AI市場地位。,https://aws.amazon.com/blogs/aws/reinvent-2023-harness-the-power-of-nvidia-h100-gpus-with-new-amazon-ec2-p5-instances/,
硬體發布,網路與系統,Spectrum-X 乙太網平台發布,2024-03-18,2024-03-18,專為AI設計的乙太網路平台，解決AI網絡瓶頸，提升數據中心AI運算效率，擴大NVIDIA的數據中心產品組合。,https://www.nvidia.com/en-us/networking/spectrum-x/,
硬體發布,網路與系統,MGX 模塊化參考設計發布,2023-05-29,2023-05-29,簡化伺服器製造商為NVIDIA GPU構建模塊化加速計算伺服器的過程，擴大NVIDIA平台生態。,https://www.nvidia.com/en-us/news/2023/05/computex-mgx-ai-servers/,
財務與市場,財報里程碑,2024財年營收突破600億美元,2024-02-21,2024-02-21,在數據中心業務的強勁增長推動下，NVIDIA年度營收創歷史新高，進一步鞏固其市場領導地位。,https://ir.nvidia.com/events/event-details/q4-fy24-nvidia-earnings-conference-call,
政策與競爭,反壟斷,歐洲監管機構關注NVIDIA在AI市場的支配地位,2024-05-22,2024-05-22,隨著NVIDIA在AI市場的支配地位日益顯著，歐洲監管機構開始關注其潛在的反競爭行為，可能面臨進一步審查。,https://www.bloomberg.com/news/articles/2024-05-22/nvidia-s-ai-dominance-catches-eye-of-eu-regulators-warns-vestager,
政策與競爭,出口管制,美國政府暫停對中國銷售H20,2024-01-24,2024-01-24,美國政府暫停NVIDIA對中國出口H20晶片，導致NVIDIA調整中國策略，影響在中國市場的營收預期。,https://www.reuters.com/technology/nvidia-h20-ai-chip-delayed-launch-china-report-2024-01-24/,
戰略合作,主權AI,與沙特阿拉伯、阿聯酋等中東國家簽署AI基礎設施協議,2023-08-01,2023-08-01,中東國家為發展AI能力大規模採購NVIDIA AI晶片，顯示NVIDIA在全球AI基礎設施建設中的核心作用。,https://www.ft.com/content/1d0061e8-78b0-46f8-958a-a53272d126fc,
硬體發布,網路與系統,NVLink 5 發布,2024-03-18,2024-03-18,Blackwell架構引入更高速的NVLink，實現GPU之間更高效的數據傳輸，提升大規模AI模型訓練性能。,https://www.nvidia.com/en-us/data-center/nvlink/,
